data,latitude,longitude,mes,temp_superficie,umidade_relativa,ndvi,ndwi,precipitacao_30d,velocidade_vento,frp_fogo,dist_estrada_km,dist_area_protegida_km,densidade_pop,altitude_m,dias_sem_chuva,estacao_seca,risco_score,risco_desmatamento
2020-11-09,-7.5092,-65.6722,11,25.91,75.74,0.6646,0.567,134.46,6.17,0.89,7.26,44.7,1.99,407.6,0.0,0,0.3429,Baixo
2022-01-09,4.0143,-66.0846,1,28.95,71.6,0.556,0.6318,133.85,20.16,0.64,0.56,64.92,0.41,151.2,0.0,0,0.3617,Médio
2021-10-19,-0.3601,-47.6249,10,28.58,78.07,0.5715,0.5433,120.47,10.38,1.43,3.65,2.02,8.86,205.1,0.0,0,0.3645,Médio
2018-10-08,-3.0268,-66.0127,10,29.92,77.55,0.6182,0.3237,53.02,11.26,7.75,26.91,36.5,4.25,441.5,0.0,0,0.4996,Médio
2018-09-30,-11.8796,-65.3854,9,32.42,59.06,0.5104,0.272,75.25,8.92,5.27,95.2,30.0,5.2,522.8,30.3,1,0.5062,Médio
2019-05-05,-11.8801,-51.7368,5,28.07,76.66,0.638,0.4998,119.99,9.48,0.93,2.95,13.87,1.27,294.7,19.7,0,0.2821,Baixo
2019-10-21,-13.8383,-60.4073,10,25.27,89.68,0.7239,0.5144,137.63,21.1,5.38,15.5,12.18,13.79,118.1,0.0,0,0.2407,Baixo
2020-01-16,2.3235,-51.2521,1,29.4,69.86,0.5759,0.471,106.35,15.76,4.19,4.98,34.7,9.2,270.1,0.0,0,0.3803,Médio
2021-05-25,-2.9777,-71.1697,5,29.04,66.45,0.6124,0.6854,179.16,5.8,1.0,34.17,49.03,4.53,304.9,27.0,0,0.1827,Baixo
2018-04-14,-0.8385,-59.348,4,28.99,73.03,0.726,0.6715,154.3,18.02,2.4,3.14,1.35,1.88,265.1,0.0,0,0.3406,Baixo
2018-03-05,-14.5883,-72.0588,3,28.0,67.16,0.6566,0.5746,125.21,16.77,0.18,6.86,33.52,9.0,350.5,0.1,0,0.3045,Baixo
2019-12-17,4.3982,-71.2457,12,28.83,67.54,0.6942,0.6081,138.23,10.88,2.49,5.47,7.48,15.08,228.5,0.0,0,0.3271,Baixo
2021-06-26,1.6489,-47.6198,6,37.21,49.99,0.6026,0.2843,80.35,13.23,12.21,20.1,6.05,3.75,425.8,25.5,1,0.8312,Alto
2018-12-20,-10.7532,-69.1011,12,27.43,70.39,0.6153,0.6007,147.81,11.94,1.54,51.63,39.03,0.26,125.0,0.0,0,0.2458,Baixo
2021-03-16,-11.3635,-58.0922,3,28.28,70.23,0.645,0.6239,144.55,19.89,1.38,17.89,14.89,2.41,485.5,0.0,0,0.3841,Médio
2019-04-20,-11.3319,-61.4893,4,25.83,77.59,0.6364,0.4226,121.76,8.81,0.41,1.5,23.26,11.47,532.5,7.4,0,0.1869,Baixo
2022-06-06,-8.9152,-63.2744,6,32.26,52.47,0.4023,0.1056,0.0,12.58,7.01,20.72,17.85,45.19,163.0,50.6,1,0.6583,Alto
2022-06-23,-4.5049,-47.8047,6,34.2,54.1,0.4845,0.0982,25.2,10.29,6.79,39.93,41.8,0.13,163.0,33.7,1,0.552,Médio
2019-06-27,-6.3611,-72.3889,6,36.21,59.47,0.5441,0.2377,39.76,6.27,7.11,3.54,25.4,3.66,361.6,27.1,1,0.5851,Médio
2019-02-24,-9.1754,-54.4139,2,27.49,71.17,0.677,0.6586,182.99,20.77,0.05,1.89,132.37,0.64,121.9,3.3,0,0.3329,Baixo
2020-01-21,-2.7629,-46.025,1,27.53,73.68,0.681,0.4666,82.55,7.27,1.59,5.2,17.38,3.8,226.1,0.0,0,0.2776,Baixo
2019-03-15,-12.2101,-57.3153,3,27.19,76.83,0.6312,0.4572,116.25,12.88,1.81,34.27,53.93,5.21,465.4,0.0,0,0.3746,Médio
2021-05-12,-9.1571,-46.769,5,26.93,65.29,0.6172,0.616,132.58,5.04,0.47,22.39,11.9,25.37,410.6,0.0,0,0.345,Baixo
2022-02-16,-7.6728,-71.5368,2,28.59,63.08,0.7135,0.6312,149.9,10.4,0.47,19.45,28.43,0.84,597.0,0.0,0,0.3939,Médio
2021-05-13,-5.8786,-61.2738,5,25.01,76.73,0.6251,0.6191,145.65,13.69,0.65,7.17,32.17,15.01,325.6,0.0,0,0.2831,Baixo
2022-02-13,0.7035,-65.7156,2,30.56,77.46,0.6647,0.552,146.35,8.7,2.49,10.1,15.97,5.03,208.4,0.0,0,0.4442,Médio
2019-12-26,-11.0065,-52.537,12,26.67,85.32,0.6582,0.5858,162.24,14.35,1.86,84.45,25.53,16.67,307.7,0.0,0,0.2295,Baixo
2018-10-13,-4.7153,-45.5237,10,29.44,75.79,0.7231,0.557,122.9,10.92,3.74,6.88,13.1,7.2,277.4,10.4,0,0.4766,Médio
2021-09-08,-3.1517,-65.8172,9,31.46,59.1,0.5486,0.1813,58.02,16.64,5.7,57.98,0.24,0.4,279.5,28.0,1,0.5239,Médio
2019-10-20,-14.071,-54.6831,10,29.34,74.02,0.5852,0.6478,163.0,17.45,4.86,21.72,9.72,29.23,296.4,0.0,0,0.3841,Médio
2021-05-10,-2.8491,-67.4533,5,29.34,76.49,0.5906,0.4728,140.41,9.65,2.72,3.29,48.17,0.86,160.2,0.0,0,0.4257,Médio
2019-05-09,-11.5895,-57.1708,5,28.77,83.34,0.6789,0.6717,198.03,12.31,1.01,15.75,58.95,9.11,342.3,0.0,0,0.1945,Baixo
2018-05-29,-13.699,-60.0099,5,26.01,64.38,0.6468,0.7832,196.69,12.73,0.2,74.18,13.15,21.01,88.7,0.0,0,0.3113,Baixo
2022-12-17,3.9777,-45.7839,12,28.5,77.07,0.6272,0.6779,177.99,14.48,0.59,13.56,20.97,0.83,192.5,0.0,0,0.4282,Médio
2018-10-13,4.3126,-55.9612,10,25.63,85.68,0.7008,0.4272,59.44,12.06,6.28,49.76,1.52,8.07,282.2,10.2,0,0.32,Baixo
2022-12-09,1.1679,-63.2138,12,27.49,76.41,0.6594,0.794,197.37,12.76,0.74,7.41,10.82,17.39,38.9,0.0,0,0.3896,Médio
2022-11-19,-8.9077,-69.8053,11,30.06,83.25,0.6526,0.5309,173.84,11.03,0.8,21.15,60.42,42.92,415.3,0.0,0,0.3564,Médio
2021-12-19,-13.0466,-68.7651,12,29.59,71.85,0.689,0.6796,210.19,12.46,0.42,46.42,37.25,12.89,8.0,14.1,0,0.3439,Baixo
2021-04-18,-1.3153,-66.6911,4,28.03,74.84,0.6312,0.6542,187.12,17.19,3.29,63.36,9.22,3.26,400.4,0.0,0,0.2577,Baixo
2020-11-20,-6.197,-65.9729,11,26.05,75.17,0.7284,0.7376,197.35,14.58,0.64,16.63,11.91,12.03,106.1,0.0,0,0.3527,Médio
